rank,name,year,rating,info_link
25,La vita è bella,1997,            8.6    ,/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25
26,The Usual Suspects,1995,            8.6    ,/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26
27,Léon,1994,            8.5    ,/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27
28,Saving Private Ryan,1998,            8.5    ,/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28
29,Sen to Chihiro no kamikakushi,2001,            8.5    ,/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29
30,Once Upon a Time in the West,1968,            8.5    ,/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30
31,American History X,1998,            8.5    ,/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31
32,Interstellar,2014,            8.5    ,/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32
33,Psycho,1960,            8.5    ,/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33
34,The Green Mile,1999,            8.5    ,/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34
35,Casablanca,1942,            8.5    ,/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35
36,City Lights,1931,            8.5    ,/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36
37,The Intouchables,2011,            8.5    ,/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37
38,Modern Times,1936,            8.5    ,/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38
39,Raiders of the Lost Ark,1981,            8.5    ,/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39
40,The Pianist,2002,            8.5    ,/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40
41,The Departed,2006,            8.5    ,/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41
42,Rear Window,1954,            8.5    ,/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42
43,Terminator 2: Judgment Day,1991,            8.5    ,/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43
44,Back to the Future,1985,            8.5    ,/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44
45,Whiplash,2014,            8.5    ,/title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_45
46,Gladiator,2000,            8.5    ,/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_46
47,The Prestige,2006,            8.5    ,/title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_47
48,The Lion King,1994,            8.5    ,/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48
49,Memento,2000,            8.5    ,/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49
50,Apocalypse Now,1979,            8.5    ,/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_50
51,Alien,1979,            8.4    ,/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51
52,The Great Dictator,1940,            8.4    ,/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52
53,Sunset Blvd.,1950,            8.4    ,/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53
54,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,            8.4    ,/title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54
55,Nuovo Cinema Paradiso,1988,            8.4    ,/title/tt0095765/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55
56,The Lives of Others,2006,            8.4    ,/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56
57,Hotaru no haka,1988,            8.4    ,/title/tt0095327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57
58,Paths of Glory,1957,            8.4    ,/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58
59,Django Unchained,2012,            8.4    ,/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59
60,The Shining,1980,            8.4    ,/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60
61,WALL·E,2008,            8.4    ,/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61
62,American Beauty,1999,            8.4    ,/title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62
63,The Dark Knight Rises,2012,            8.4    ,/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63
64,Mononoke-hime,1997,            8.4    ,/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64
65,Oldeuboi,2003,            8.4    ,/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65
66,Aliens,1986,            8.4    ,/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66
67,Witness for the Prosecution,1957,            8.4    ,/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67
68,Once Upon a Time in America,1984,            8.4    ,/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68
69,Das Boot,1981,            8.3    ,/title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69
70,Citizen Kane,1941,            8.3    ,/title/tt0033467/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70
71,Dangal,2016,            8.3    ,/title/tt5074352/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71
72,Vertigo,1958,            8.3    ,/title/tt0052357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72
73,North by Northwest,1959,            8.3    ,/title/tt0053125/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_73
74,Star Wars: Episode VI - Return of the Jedi,1983,            8.3    ,/title/tt0086190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_74
75,Braveheart,1995,            8.3    ,/title/tt0112573/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75
76,Reservoir Dogs,1992,            8.3    ,/title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_76
77,M,1931,            8.3    ,/title/tt0022100/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_77
78,Requiem for a Dream,2000,            8.3    ,/title/tt0180093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_78
79,Amélie,2001,            8.3    ,/title/tt0211915/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_79
80,Taare Zameen Par,2007,            8.3    ,/title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_80
81,A Clockwork Orange,1971,            8.3    ,/title/tt0066921/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81
82,Lawrence of Arabia,1962,            8.3    ,/title/tt0056172/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_82
83,Kimi no na wa.,2016,            8.3    ,/title/tt5311514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_83
84,Double Indemnity,1944,            8.3    ,/title/tt0036775/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_84
85,Amadeus,1984,            8.3    ,/title/tt0086879/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_85
86,Dunkirk,2017,            8.3    ,/title/tt5013056/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_86
87,Taxi Driver,1976,            8.3    ,/title/tt0075314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_87
88,Eternal Sunshine of the Spotless Mind,2004,            8.3    ,/title/tt0338013/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_88
89,To Kill a Mockingbird,1962,            8.3    ,/title/tt0056592/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89
90,Full Metal Jacket,1987,            8.3    ,/title/tt0093058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_90
91,2001: A Space Odyssey,1968,            8.3    ,/title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_91
92,Singin' in the Rain,1952,            8.3    ,/title/tt0045152/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_92
93,Toy Story 3,2010,            8.3    ,/title/tt0435761/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_93
94,The Sting,1973,            8.3    ,/title/tt0070735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_94
95,Toy Story,1995,            8.3    ,/title/tt0114709/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_95
96,Ladri di biciclette,1948,            8.3    ,/title/tt0040522/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_96
97,3 Idiots,2009,            8.3    ,/title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_97
98,Inglourious Basterds,2009,            8.3    ,/title/tt0361748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_98
99,The Kid,1921,            8.3    ,/title/tt0012349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_99
100,Snatch,2000,            8.3    ,/title/tt0208092/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_100
101,Monty Python and the Holy Grail,1975,            8.3    ,/title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_101
102,Good Will Hunting,1997,            8.3    ,/title/tt0119217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_102
103,Per qualche dollaro in più,1965,            8.3    ,/title/tt0059578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_103
104,Jagten,2012,            8.3    ,/title/tt2106476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_104
105,L.A. Confidential,1997,            8.3    ,/title/tt0119488/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_105
106,Scarface,1983,            8.3    ,/title/tt0086250/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_106
107,The Apartment,1960,            8.2    ,/title/tt0053604/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_107
108,Metropolis,1927,            8.2    ,/title/tt0017136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_108
109,Jodaeiye Nader az Simin,2011,            8.2    ,/title/tt1832382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_109
110,Rashômon,1950,            8.2    ,/title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_110
111,Indiana Jones and the Last Crusade,1989,            8.2    ,/title/tt0097576/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_111
112,Babam ve Oglum,2005,            8.2    ,/title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_112
113,Yôjinbô,1961,            8.2    ,/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_113
114,All About Eve,1950,            8.2    ,/title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_114
115,Up,2009,            8.2    ,/title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_115
116,Batman Begins,2005,            8.2    ,/title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116
117,Some Like It Hot,1959,            8.2    ,/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_117
118,The Treasure of the Sierra Madre,1948,            8.2    ,/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_118
119,Unforgiven,1992,            8.2    ,/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_119
120,Der Untergang,2004,            8.2    ,/title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_120
121,Die Hard,1988,            8.2    ,/title/tt0095016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_121
122,Raging Bull,1980,            8.2    ,/title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_122
123,Heat,1995,            8.2    ,/title/tt0113277/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_123
